架次编号,event_index,segment,phase,t_start,t_end,from_node,to_node
T022,0,-1,地面准备,3612.7,3710.6549999999997,O01,O01
T022,1,0,爬升,3710.6549999999997,3761.1066107629554,O01,S001
T022,2,0,巡航,3761.1066107629554,4139.493691485122,O01,S001
T022,3,0,下降,4139.493691485122,4189.9453022480775,O01,S001
T022,4,0,物资交接,4189.9453022480775,4215.171107629555,O01,S001
T022,5,1,爬升,4215.171107629555,4263.514526047054,S001,S005
T022,6,1,巡航,4263.514526047054,4626.090164178293,S001,S005
T022,7,1,下降,4626.090164178293,4674.433582595791,S001,S005
T022,8,1,物资交接,4674.433582595791,4698.605291804541,S001,S005
T022,9,2,爬升,4698.605291804541,4790.520524246168,S005,O01
T022,10,2,巡航,4790.520524246168,5479.884767558372,S005,O01
T022,11,2,下降,5479.884767558372,5571.8,S005,O01
T023,0,-1,地面准备,4080.0,4183.405,O01,O01
T023,1,0,爬升,4183.405,4257.305923336661,O01,S013
T023,2,0,巡航,4257.305923336661,4811.562848361619,O01,S013
T023,3,0,下降,4811.562848361619,4885.463771698281,O01,S013
T023,4,0,物资交接,4885.463771698281,4922.414233366611,O01,S013
T023,5,1,爬升,4922.414233366611,5002.0455664159235,S013,S011
T023,6,1,巡航,5002.0455664159235,5599.280564285762,S013,S011
T023,7,1,下降,5599.280564285762,5678.911897335074,S013,S011
T023,8,1,物资交接,5678.911897335074,5718.72756385973,S013,S011
T023,9,2,爬升,5718.72756385973,5763.924662400811,S011,O01
T023,10,2,巡航,5763.924662400811,6102.90290145892,S011,O01
T023,11,2,下降,6102.90290145892,6148.1,S011,O01
T024,0,-1,地面准备,5758.8,5853.05,O01,O01
T024,1,0,爬升,5853.05,5908.726258298027,O01,S006
T024,2,0,巡航,5908.726258298027,6326.298195533226,O01,S006
T024,3,0,下降,6326.298195533226,6381.9744538312525,O01,S006
T024,4,0,物资交接,6381.9744538312525,6409.812582980266,O01,S006
T024,5,1,爬升,6409.812582980266,6453.857684318897,S006,S007
T024,6,1,巡航,6453.857684318897,6784.195944358628,S006,S007
T024,7,1,下降,6784.195944358628,6828.241045697259,S006,S007
T024,8,1,物资交接,6828.241045697259,6850.263596366574,S006,S007
T024,9,2,爬升,6850.263596366574,6933.793744117461,S007,O01
T024,10,2,巡航,6933.793744117461,7560.269852249112,S007,O01
T024,11,2,下降,7560.269852249112,7643.8,S007,O01
